entropy,file_length,max_line_length,nb_lines,eval_count,exec_count,obfuscation_count,fs_count,network_input_count,special_char_ratio,avg_var_length,long_vars_count,whitespace_ratio,label
3.308,217559,108907,57,0,4,0,6,2,0.25030451509705415,3.8260869565217392,0,0.0010342022164102611,1
4.637,19828,248,476,0,5,0,1,65,0.22049626790397417,5.034722222222222,3,0.35066572523703854,1
5.603,267418,267418,1,2,0,0,0,0,0.03478449468622157,9.96,0,2.2436784360065515e-05,1
6.14,343734,64246,4501,5,29,29,36,327,0.13839189605916202,5.955708047411104,126,0.0586674579762258,1
7.367,8854,732,120,1,0,2,0,6,0.4929975152473458,4.2592592592592595,0,0.06946013101423086,1
5.618,86913,3144,1413,1,10,0,22,306,0.3013013013013013,5.309882065880439,75,0.05916261088674882,1
5.624,68535,1603,1963,4,8,5,10,25,0.2809659298168819,6.439775910364146,70,0.1426716276355147,1
5.747,83935,6715,3863,2,20,4,18,169,0.25526895812235656,5.06967447173044,27,0.14809078453565258,1
5.855,1964,93,22,0,0,0,0,0,0.3727087576374745,7.096774193548387,7,0.15580448065173116,1
5.682,146438,91,1812,1,0,0,0,0,0.0003755855720509704,9.0,0,0.012537729277919666,1
3.552,401,171,8,1,0,0,0,1,0.9476309226932669,3.9607843137254903,0,0.0199501246882793,1
6.05,26186,25687,21,1,0,2,0,0,0.041319789200336056,12.8,10,0.0022913006950278773,1
6.028,2457,2456,2,1,0,2,0,0,0.037037037037037035,0.0,0,0.001221001221001221,1
5.869,128585,1753,2927,4,5,9,11,4,0.2281836917214294,5.667086481947943,259,0.07901388186802503,1
6.015,133696,25035,1436,0,5,10,16,93,0.05807204404021063,6.671102661596958,38,0.031556665868836764,1
5.247,1479,96,20,0,0,0,0,0,0.4090601757944557,2.7761194029850746,0,0.014198782961460446,1
5.372,13640,228,368,0,2,0,8,3,0.3024193548387097,6.989399293286219,31,0.14677419354838708,1
5.531,301638,301475,17,1,0,0,0,0,0.008629549327339394,9.726618705035971,1,0.00011934835796550832,1
4.407,86,24,7,1,0,0,0,1,0.2558139534883721,3.3333333333333335,0,0.32558139534883723,1
5.305,15991,187,501,0,1,0,3,40,0.2365080357701207,6.914572864321608,22,0.20505284222375086,1
3.437,417,97,11,0,0,0,0,0,0.9304556354916067,2.6533333333333333,0,0.06235011990407674,1
5.094,10000,134,371,0,4,0,0,15,0.2213,4.680555555555555,0,0.2327,1
5.952,156553,39948,2831,7,9,6,14,511,0.21525617522500368,6.254765395894428,107,0.08300703276206779,1
5.716,19821,18293,62,1,0,1,0,0,0.015488623177438071,6.7272727272727275,0,0.03541698198879976,1
6.022,43132,42906,12,1,0,0,0,0,0.03533339515904665,4.555555555555555,0,0.0008114624872484467,1
5.974,21673,175,521,0,5,0,1,31,0.18225441793937155,5.223502304147465,7,0.08771282240575831,1
4.667,1862,78,55,0,0,0,0,0,0.07465091299677766,0.0,0,0.18850698174006444,1
